SubjectID,Condition,TravelType,Level,Pass,ResponseTime,#InitIncorrectSwitch,#InitIncorrectWalking,#InitIncorrectSegway,#InitIncorrectSurfing,#IncorrectSwitch,#IncorrectWalking,#IncorrectSegway,#IncorrectSurfing
24,0,2,1,1,0.640564,0,0,0,0,0,0,0,0
24,0,0,2,0,1.859009,0,0,0,0,0,0,0,0
24,0,0,2,1,1.541504,0,0,0,0,0,0,0,0
24,0,1,2,0,7.5961,1,0,0,1,0,0,0,0
24,0,1,2,1,0.8006592,0,0,0,0,0,0,0,0
24,0,2,2,0,1.599182,0,0,0,0,0,0,0,0
24,0,2,2,1,2.962769,0,0,0,0,0,0,0,0
24,0,0,3,0,0.8802032,0,0,0,0,0,0,0,0
24,0,0,3,1,1.241211,0,0,0,0,0,0,0,0
24,0,1,3,0,3.23819,0,0,0,0,0,0,0,0
24,0,1,3,1,1.861755,0,0,0,0,0,0,0,0
24,0,2,3,0,1.699097,0,0,0,0,0,0,0,0
24,0,2,3,1,2.402405,0,0,0,0,0,0,0,0
25,1,0,1,0,1.861816,0,0,0,0,0,0,0,0
25,1,0,1,1,0.02001953,2,0,2,0,0,0,0,0
25,1,1,1,0,2.398712,6,6,0,0,135,100,0,35
25,1,1,1,1,1.421021,1,1,0,0,0,0,0,0
25,1,2,1,0,1.341309,7,7,0,0,87,87,0,0
25,1,2,1,1,2.141968,2,2,0,0,45,45,0,0
25,1,0,2,0,0.1400757,34,0,34,0,0,0,0,0
25,1,0,2,1,0.4609375,0,0,0,0,0,0,0,0
25,1,1,2,0,3.997803,54,54,0,0,26,26,0,0
25,1,1,2,1,2.121948,0,0,0,0,21,21,0,0
25,1,2,2,0,3.403259,2,2,0,0,14,14,0,0
25,1,2,2,1,1.9021,10,10,0,0,15,15,0,0
25,1,0,3,0,0.9993896,0,0,0,0,0,0,0,0
25,1,0,3,1,0.1800537,13,0,13,0,0,0,0,0
25,1,1,3,0,1.201233,2,2,0,0,78,66,0,12
25,1,1,3,1,2.262085,6,6,0,0,5,5,0,0
